order_id,store_name,packaged_time,created_At,total
QC_IN_408-9490622-0196364,TBI6,1773939389668,2026-03-19T22:24:47.000Z,2
QC_IN_405-0697518-6801915,TBI7,1773939633519,2026-03-19T22:27:45.000Z,6
QC_IN_403-5526463-2549908,TBI4,1773939417054,2026-03-19T22:24:43.000Z,5
QC_IN_407-9501938-5809100,TBH8,1773939080245,2026-03-19T22:12:47.000Z,5
QC_IN_407-7320159-6900361,TBI6,1773939081745,2026-03-19T22:19:29.000Z,4
QC_IN_403-1831552-8208364,TBI4,1773939181345,2026-03-19T22:21:35.000Z,5
QC_IN_405-0495837-6568365,TBI7,1773939408535,2026-03-19T22:25:48.000Z,2
QC_IN_408-2182913-6921168,TBI9,1773939542123,2026-03-19T22:26:52.000Z,8
QC_IN_408-2278253-0399555,TBJ1,1773939397439,2026-03-19T22:25:45.000Z,1
QC_IN_407-9455332-7496351,TBJ3,1773939575096,2026-03-19T22:28:40.000Z,2
QC_IN_171-5083182-4249107,TBI3,1773939334970,2026-03-19T22:23:51.000Z,5
QC_IN_407-8997334-3801926,TBJ3,1773939437851,2026-03-19T22:24:58.000Z,5
QC_IN_403-7979087-1249108,TBH8,1773939281233,2026-03-19T22:14:31.000Z,9
QC_IN_408-5906840-1017910,TBH8,1773939030560,2026-03-19T22:12:41.000Z,5
QC_IN_171-6061986-5403543,TBI4,1773939410327,2026-03-19T22:24:50.000Z,9
QC_IN_404-3967659-8673940,TBH8,1773939303492,2026-03-19T22:15:54.000Z,3
QC_IN_404-2923844-1791509,TBI4,1773939561916,2026-03-19T22:28:25.000Z,2
QC_IN_404-6985944-0800318,TBH8,1773938713364,2026-03-19T22:08:12.000Z,2
QC_IN_402-1358903-6293901,TBI9,1773939313440,2026-03-19T22:22:21.000Z,14
QC_IN_402-5257358-5824339,TBI8,1773939290524,2026-03-19T22:21:46.000Z,13
QC_IN_406-6480627-4334732,TBI9,1773939346938,2026-03-19T22:24:10.000Z,4
QC_IN_403-7985970-7279531,TBI8,1773939512080,2026-03-19T22:26:33.000Z,9
QC_IN_408-5238387-6677923,TBJ3,1773939652118,2026-03-19T22:29:50.000Z,2
QC_IN_404-9100926-6629901,TBI3,1773939073438,2026-03-19T22:20:36.000Z,1
QC_IN_407-1675958-4649967,TBH8,1773939060790,2026-03-19T22:12:36.000Z,7
QC_IN_403-0762645-8964313,TBH8,1773939187459,2026-03-19T22:13:54.000Z,13
QC_IN_404-6562036-5265949,TBI4,1773938973721,2026-03-19T22:18:21.000Z,3
QC_IN_407-2844883-3728319,TBI6,1773939256669,2026-03-19T22:15:08.000Z,13
QC_IN_404-3905458-2113144,TBI6,1773939209313,2026-03-19T22:21:46.000Z,6
QC_IN_403-3450365-3452352,TBI8,1773939019260,2026-03-19T22:18:38.000Z,3
QC_IN_404-4384757-6605136,TBH8,1773939256421,2026-03-19T22:14:50.000Z,3
QC_IN_405-6344885-5265107,TBI8,1773939113523,2026-03-19T22:20:33.000Z,2
QC_IN_407-5700827-9936335,TBH8,1773939174835,2026-03-19T22:09:44.000Z,23
QC_IN_407-9776716-6148352,TBH8,1773938867046,2026-03-19T22:10:23.000Z,5
QC_IN_403-1843960-0402735,TBI6,1773939194983,2026-03-19T22:21:23.000Z,6
QC_IN_402-2289527-8526752,TBJ3,1773939327551,2026-03-19T22:23:44.000Z,3
QC_IN_171-0051913-0297907,TBI8,1773938933668,2026-03-19T22:17:22.000Z,1
QC_IN_407-2799653-8764332,TBI7,1773938696288,2026-03-19T22:12:46.000Z,10
QC_IN_404-4207405-3596301,TBJ1,1773938940926,2026-03-19T22:18:04.000Z,2
QC_IN_406-0296878-1469112,TBI4,1773939152523,2026-03-19T22:21:43.000Z,1
QC_IN_408-0186722-5716315,TBI8,1773939077487,2026-03-19T22:17:54.000Z,14
QC_IN_404-5799399-6480307,TBI4,1773938599035,2026-03-19T22:09:33.000Z,21
QC_IN_405-0421716-2033944,TBI6,1773939286499,2026-03-19T22:20:44.000Z,6
QC_IN_405-7033611-1489113,TBI8,1773938849914,2026-03-19T22:16:04.000Z,4
